iter	Passed	Remaining
902	11624	1248
903	11636	1235
904	11649	1222
905	11663	1210
906	11677	1197
907	11691	1184
908	11704	1171
909	11716	1158
910	11728	1145
911	11740	1132
912	11754	1120
913	11766	1107
914	11779	1094
915	11793	1081
916	11807	1068
917	11820	1055
918	11832	1042
919	11844	1029
920	11859	1017
921	11871	1004
922	11883	991
923	11896	978
924	11909	965
925	11923	952
926	11935	939
927	11948	927
928	11962	914
929	11976	901
930	11989	888
931	12002	875
932	12015	862
933	12029	850
934	12042	837
935	12056	824
936	12071	811
937	12084	798
938	12098	785
939	12111	773
940	12125	760
941	12139	747
942	12152	734
943	12165	721
944	12178	708
945	12191	695
946	12205	683
947	12218	670
948	12231	657
949	12243	644
950	12257	631
951	12271	618
952	12284	605
953	12297	592
954	12310	580
955	12323	567
956	12336	554
957	12349	541
958	12364	528
959	12377	515
960	12391	502
961	12405	490
962	12420	477
963	12433	464
964	12447	451
965	12461	438
966	12474	425
967	12487	412
968	12501	399
969	12515	387
970	12527	374
971	12540	361
972	12555	348
973	12570	335
974	12583	322
975	12595	309
976	12607	296
977	12621	283
978	12634	271
979	12648	258
980	12660	245
981	12673	232
982	12687	219
983	12701	206
984	12715	193
985	12728	180
986	12741	167
987	12755	154
988	12770	142
989	12784	129
990	12798	116
991	12811	103
992	12824	90
993	12837	77
994	12851	64
995	12864	51
996	12877	38
997	12890	25
998	12904	12
999	12917	0
