Name,Price,Week,Month,Year,Season
Leeks_UPCVEG_1kg,296.9,4,11,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,219.43,4,11,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,252.22,4,11,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,887.5,1,12,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,290.42,1,12,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,228.42,1,12,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,239.23,1,12,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,685.83,2,12,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,294.5,2,12,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,240.74,2,12,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,232.45,2,12,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,698.42,3,12,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,288.11,3,12,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,244.97,3,12,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,198.67,3,12,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,653.56,4,12,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,292.77,4,12,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,249.19,4,12,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,198.41,4,12,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,537.51,1,1,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,267.95,1,1,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,253.09,1,1,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,206.57,1,1,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,325.63,2,1,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,250.77,2,1,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,229.41,2,1,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,184.5,2,1,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,327.33,3,1,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,261.84,3,1,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,198.32,3,1,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,160.24,3,1,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,320.65,4,1,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,259.14,4,1,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,184.8,4,1,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,159.16,4,1,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,410.72,1,2,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,168.11,1,2,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,192.0,1,2,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,173.95,1,2,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,359.7,2,2,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,144.21,2,2,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,118.27,2,2,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,151.28,2,2,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,361.03,3,2,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,142.67,3,2,2018,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,116.55,3,2,2018,North-East Monsoon Season
Carrot_UPCVEG_1kg,151.81,3,2,2018,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,365.76,4,2,2018,North-East Monsoon Season
Leeks_UPCVEG_1kg,143.33,4,2,2018,North-East Monsoon Season
