Date,"Buy Rate","Sell Rate"
2021-12-20,198.5008,202.9992
2021-12-17,198.5008,202.9992
2021-12-16,198.5008,202.9992
2021-12-15,198.5008,202.9992
2021-12-14,198.5008,202.9992
2021-12-13,198.5008,202.9992
2021-12-10,198.5008,202.9992
2021-12-09,198.5008,202.9992
2021-12-08,198.5008,202.9992
2021-12-07,198.5008,202.9992
2021-12-06,198.5008,202.9992
2021-12-03,198.5008,202.9992
2021-12-02,198.5008,202.9992
2021-12-01,198.5008,202.9992
2021-11-30,198.5008,202.9992
2021-11-29,198.5008,202.9992
2021-11-26,198.5008,202.9992
2021-11-25,198.5008,202.9992
2021-11-24,198.5008,202.9992
2021-11-23,198.5008,202.9992
2021-11-22,198.5008,202.9992
2021-11-19,198.5008,202.9992
2021-11-17,198.5008,202.9992
2021-11-16,198.5008,202.9992
2021-11-15,198.5008,202.9992
2021-11-12,198.5008,202.9992
2021-11-11,198.5008,202.9992
2021-11-10,198.5008,202.9992
2021-11-09,198.5008,202.9992
2021-11-08,198.5008,202.9992
2021-11-05,198.5008,202.9992
2021-11-03,198.5008,202.9992
2021-11-02,198.5008,202.9992
2021-11-01,198.5008,202.9992
2021-10-29,198.5008,202.9992
2021-10-28,198.5008,202.9992
2021-10-27,198.5008,202.9992
2021-10-26,198.5008,202.9992
2021-10-25,198.5008,202.9992
2021-10-22,198.5008,202.9992
2021-10-21,198.5008,202.9992
2021-10-18,198.5008,202.9992
2021-10-15,198.5008,202.9992
2021-10-14,198.5008,202.9992
2021-10-13,198.5008,202.9992
2021-10-12,198.5008,202.9992
2021-10-11,198.5008,202.9992
2021-10-08,198.5008,202.9992
2021-10-07,198.5008,202.9992
2021-10-06,198.5008,202.9992
2021-10-05,198.5008,202.9992
2021-10-04,198.5008,202.9992
2021-10-01,198.5008,202.9992
2021-09-30,198.5008,202.9992
2021-09-29,198.5008,202.9992
2021-09-28,198.5008,202.9992
2021-09-27,198.5008,202.9992
2021-09-24,198.5008,202.9992
2021-09-23,198.5008,202.9992
2021-09-22,198.5008,202.9992
2021-09-21,198.5008,202.9992
2021-09-17,198.5008,202.9992
2021-09-16,198.5008,202.9992
2021-09-15,198.5008,202.9992
2021-09-14,198.5008,202.9992
2021-09-13,198.5008,202.9992
2021-09-10,198.5008,202.9992
2021-09-09,198.5008,202.9992
2021-09-08,198.5008,202.9992
2021-09-07,198.5008,202.9992
2021-09-06,198.5000,203.0000
2021-09-03,198.5008,202.9992
2021-09-02,198.5008,202.9992
2021-09-01,198.8649,203.8701
2021-08-31,198.9023,204.8977
2021-08-30,197.9023,202.8977
2021-08-27,198.1023,202.8977
2021-08-26,197.9023,202.8977
2021-08-25,197.9023,202.8977
2021-08-24,197.9023,202.8977
2021-08-23,197.9023,202.8977
2021-08-20,198.1983,202.8977
2021-08-19,197.8983,202.8977
2021-08-18,198.3983,202.8977
2021-08-17,198.1983,202.8977
2021-08-16,198.3983,202.8977
2021-08-13,198.5983,202.8977
2021-08-12,197.6023,202.8977
2021-08-11,198.2983,202.8977
2021-08-10,198.1983,202.8977
2021-08-09,197.8023,202.8977
2021-08-06,198.3183,202.8977
2021-08-05,198.3183,202.8977
2021-08-04,198.0983,202.8977
2021-08-03,198.0983,202.8977
2021-08-02,197.2063,202.8977
2021-07-30,198.3983,202.8977
2021-07-29,197.6023,202.8977
2021-07-28,197.9023,202.8977
2021-07-27,197.8023,202.8977
2021-07-26,197.9023,202.8977
2021-07-22,197.9223,202.8977
2021-07-20,197.9023,202.8977
2021-07-19,197.9023,202.8977
2021-07-16,198.1223,202.8977
2021-07-15,198.1183,202.8977
2021-07-14,197.9023,202.8977
2021-07-13,198.3183,202.8977
2021-07-12,198.2183,202.8977
2021-07-09,197.9023,202.8977
2021-07-08,197.9023,202.8977
2021-07-07,198.1183,202.8977
2021-07-06,197.8023,202.8977
2021-07-05,197.5023,202.8977
2021-07-02,198.2183,202.8977
2021-07-01,197.4023,202.8977
2021-06-30,197.3263,202.8977
2021-06-29,197.3063,202.8977
2021-06-28,197.3063,202.8977
2021-06-25,197.5223,202.8977
2021-06-23,197.9223,202.8977
2021-06-22,198.0303,202.8896
2021-06-21,197.9103,202.8896
2021-06-18,198.0303,202.8896
2021-06-17,198.0303,202.8896
2021-06-16,197.9303,202.8896
2021-06-15,197.9303,202.8896
2021-06-14,198.1103,202.8896
2021-06-11,198.1303,202.8896
2021-06-10,197.9103,202.8896
2021-06-09,197.9103,202.8896
2021-06-08,197.9283,202.8877
2021-06-07,197.8103,202.8896
2021-06-04,198.1303,202.8896
2021-06-03,197.8103,202.8896
2021-06-02,197.9103,202.8896
2021-06-01,198.0283,202.8877
2021-05-31,197.9103,202.8896
2021-05-28,197.9103,202.8896
2021-05-25,198.0303,202.8896
2021-05-24,197.9103,202.8896
2021-05-21,198.2989,202.8796
2021-05-20,198.1789,202.8796
2021-05-19,198.2989,202.8796
2021-05-18,198.2691,202.8494
2021-05-17,197.5023,202.8977
2021-05-13,197.3841,202.2820
2021-05-12,197.8180,201.9480
2021-05-11,197.5980,201.9480
2021-05-10,197.5980,201.9480
2021-05-07,197.5503,201.8988
2021-05-06,196.7723,201.8788
2021-05-05,195.0848,199.9410
2021-05-04,195.1800,199.9300
