Name,Price,Week,Month,Year
Carrot 1kg,151.28,2,2,2019
Tomatoe No1. 1kg,106.35,2,2,2019
Leeks 1kg,142.67,3,2,2019
Local Potatoes 1Kg,164.71,3,2,2019
Imported Potatoes 1Kg,98.61,3,2,2019
Carrot 1kg,151.81,3,2,2019
Tomatoe No1. 1kg,103.73,3,2,2019
Leeks 1kg,143.33,4,2,2019
Local Potatoes 1Kg,166.09,4,2,2019
Imported Potatoes 1Kg,98.9,4,2,2019
Carrot 1kg,153.11,4,2,2019
Tomatoe No1. 1kg,105.65,4,2,2019
Leeks 1kg,138.38,1,3,2019
Local Potatoes 1Kg,162.63,1,3,2019
Imported Potatoes 1Kg,106.71,1,3,2019
Carrot 1kg,147.03,1,3,2019
Tomatoe No1. 1kg,105.95,1,3,2019
Leeks 1kg,141.62,2,3,2019
Local Potatoes 1Kg,153.1,2,3,2019
Imported Potatoes 1Kg,105.19,2,3,2019
Carrot 1kg,148.83,2,3,2019
Tomatoe No1. 1kg,107.57,2,3,2019
Leeks 1kg,136.67,3,3,2019
Local Potatoes 1Kg,152.67,3,3,2019
Imported Potatoes 1Kg,109.35,3,3,2019
Carrot 1kg,144.46,3,3,2019
Tomatoe No1. 1kg,102.7,3,3,2019
Leeks 1kg,136.11,4,3,2019
Local Potatoes 1Kg,158.57,4,3,2019
Imported Potatoes 1Kg,115.42,4,3,2019
Carrot 1kg,144.0,4,3,2019
Tomatoe No1. 1kg,104.57,4,3,2019
Leeks 1kg,143.08,1,4,2019
Local Potatoes 1Kg,171.58,1,4,2019
Imported Potatoes 1Kg,117.69,1,4,2019
Carrot 1kg,151.49,1,4,2019
Tomatoe No1. 1kg,103.89,1,4,2019
Leeks 1kg,142.56,2,4,2019
Local Potatoes 1Kg,177.08,2,4,2019
Imported Potatoes 1Kg,121.11,2,4,2019
Carrot 1kg,149.95,2,4,2019
Tomatoe No1. 1kg,128.65,2,4,2019
Leeks 1kg,,3,4,2019
Local Potatoes 1Kg,,3,4,2019
Imported Potatoes 1Kg,,3,4,2019
Carrot 1kg,,3,4,2019
Tomatoe No1. 1kg,,3,4,2019
Leeks 1kg,,4,4,2019
Local Potatoes 1Kg,,4,4,2019
Imported Potatoes 1Kg,,4,4,2019
Carrot 1kg,,4,4,2019
Tomatoe No1. 1kg,,4,4,2019
Leeks 1kg,145.64,1,5,2019
Local Potatoes 1Kg,196.32,1,5,2019
Imported Potatoes 1Kg,124.23,1,5,2019
Carrot 1kg,183.06,1,5,2019
Tomatoe No1. 1kg,164.8,1,5,2019
Leeks 1kg,164.95,2,5,2019
Local Potatoes 1Kg,198.33,2,5,2019
Imported Potatoes 1Kg,124.44,2,5,2019
Carrot 1kg,213.85,2,5,2019
Tomatoe No1. 1kg,174.56,2,5,2019
Leeks 1kg,160.67,3,5,2019
Local Potatoes 1Kg,200.5,3,5,2019
Imported Potatoes 1Kg,127.5,3,5,2019
Carrot 1kg,227.14,3,5,2019
Tomatoe No1. 1kg,172.86,3,5,2019
Leeks 1kg,165.0,4,5,2019
Local Potatoes 1Kg,200.45,4,5,2019
Imported Potatoes 1Kg,127.12,4,5,2019
Carrot 1kg,231.76,4,5,2019
Tomatoe No1. 1kg,177.65,4,5,2019
Leeks 1kg,163.23,1,6,2019
Local Potatoes 1Kg,210.19,1,6,2019
Imported Potatoes 1Kg,128.75,1,6,2019
Carrot 1kg,244.12,1,6,2019
Tomatoe No1. 1kg,132.9,1,6,2019
Leeks 1kg,166.47,2,6,2019
Local Potatoes 1Kg,207.79,2,6,2019
Imported Potatoes 1Kg,127.89,2,6,2019
Carrot 1kg,244.89,2,6,2019
Tomatoe No1. 1kg,133.33,2,6,2019
Leeks 1kg,165.0,3,6,2019
Local Potatoes 1Kg,207.92,3,6,2019
Imported Potatoes 1Kg,124.12,3,6,2019
Carrot 1kg,247.68,3,6,2019
Tomatoe No1. 1kg,135.29,3,6,2019
Leeks 1kg,140.53,4,6,2019
Local Potatoes 1Kg,215.83,4,6,2019
Imported Potatoes 1Kg,138.0,4,6,2019
Carrot 1kg,192.43,4,6,2019
Tomatoe No1. 1kg,106.11,4,6,2019
Leeks 1kg,147.7,1,7,2019
Local Potatoes 1Kg,216.1,1,7,2019
Imported Potatoes 1Kg,147.39,1,7,2019
Carrot 1kg,202.0,1,7,2019
Tomatoe No1. 1kg,131.32,1,7,2019
Leeks 1kg,147.89,2,7,2019
Local Potatoes 1Kg,218.57,2,7,2019
Imported Potatoes 1Kg,142.4,2,7,2019
Carrot 1kg,195.79,2,7,2019
Tomatoe No1. 1kg,113.18,2,7,2019
Leeks 1kg,150.55,3,7,2019
Local Potatoes 1Kg,249.23,3,7,2019
